OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, formula 
mr030_wp1, comb, central, 0, -2.4, 2.4, 500, 3000, "1.07361"
mr030_wp1, comb, up     , 0, -2.4, 2.4, 500, 3000, "1.07361+0.04*(1+(x>=3000))*(1+(x<=500))"
mr030_wp1, comb, down   , 0, -2.4, 2.4, 500, 3000, "1.07361-0.04*(1+(x>=3000))*(1+(x<=500))"
mr030_wp1, comb, central, 2, -2.4, 2.4, 500, 3000, "0.504563"
mr030_wp1, comb, up     , 2, -2.4, 2.4, 500, 3000, "0.504563+0.0331942*(1+(x>=3000))*(1+(x<=500))"
mr030_wp1, comb, down   , 2, -2.4, 2.4, 500, 3000, "0.504563-0.0331942*(1+(x>=3000))*(1+(x<=500))"
