OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, formula 
mr010_wp1, comb, central, 0, -2.4, 2.4, 400, 3000, "1.00"
mr010_wp1, comb, up     , 0, -2.4, 2.4, 400, 3000, "1.00+0.15*(1+(x>=3000))*(1+(x<=400))"
mr010_wp1, comb, down   , 0, -2.4, 2.4, 400, 3000, "1.00-0.15*(1+(x>=3000))*(1+(x<=400))"
mr010_wp1, comb, central, 2, -2.4, 2.4, 400, 3000, "1.04"
mr010_wp1, comb, up     , 2, -2.4, 2.4, 400, 3000, "1.04+0.07*(1+(x>=3000))*(1+(x<=400))"
mr010_wp1, comb, down   , 2, -2.4, 2.4, 400, 3000, "1.04-0.07*(1+(x>=3000))*(1+(x<=400))"
